license_id,brand_name,ingredient,drugbank_id,potential_indication,source,score
EMEA/H/C/005975,Tuzulby,METHYLPHENIDATE HYDROCHLORIDE,DB00422,faciodigitogenital syndrome,TxGNN Deep Learning,0.99998140335083
EMEA/H/C/000825,Ratiograstim,FILGRASTIM,DB00099,primary release disorder of platelets,TxGNN Deep Learning,0.9999760389328004
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,attention deficit-hyperactivity disorder,TxGNN Deep Learning,0.9999748468399048
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,megaloblastic anemia (disease),TxGNN Deep Learning,0.9999748468399048
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,Scott syndrome,TxGNN Deep Learning,0.9999748468399048
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,malformation syndrome with odontal and/or periodontal component,TxGNN Deep Learning,0.9999737739562988
EMEA/H/C/003964,Elocta,EFMOROCTOCOG ALFA,DB11607,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999725818634032
EMEA/H/C/002813,Nuwiq,SIMOCTOCOG ALFA,DB09108,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999725818634032
EMEA/H/C/000825,Ratiograstim,FILGRASTIM,DB00099,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999723434448242
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,hypertrichosis (disease),TxGNN Deep Learning,0.9999722242355348
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,syndrome with a Dandy-Walker malformation as major feature,TxGNN Deep Learning,0.9999709129333496
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,isolated genetic hair shaft abnormality,TxGNN Deep Learning,0.999969720840454
EMEA/H/C/003964,Elocta,EFMOROCTOCOG ALFA,DB11607,primary release disorder of platelets,TxGNN Deep Learning,0.9999690055847168
EMEA/H/C/002813,Nuwiq,SIMOCTOCOG ALFA,DB09108,primary release disorder of platelets,TxGNN Deep Learning,0.9999690055847168
EMEA/H/C/000593,Xyrem,SODIUM OXYBATE,DB09072,insomnia (disease),TxGNN Deep Learning,0.9999688863754272
,Vilanterol,VILANTEROL,DB09082,bronchitis,TxGNN Deep Learning,0.9999661445617676
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,Ambras type hypertrichosis universalis congenita,TxGNN Deep Learning,0.999966025352478
EMEA/H/C/004883,Esperoct,TUROCTOCOG ALFA PEGOL,DB14738,primary release disorder of platelets,TxGNN Deep Learning,0.9999659061431884
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,thrombotic thrombocytopenic purpura,TxGNN Deep Learning,0.9999648332595824
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,open-angle glaucoma,TxGNN Deep Learning,0.999964714050293
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,hypotrichosis simplex of the scalp,TxGNN Deep Learning,0.999964714050293
EMEA/H/C/004883,Esperoct,TUROCTOCOG ALFA PEGOL,DB14738,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999642372131348
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,primary hereditary glaucoma,TxGNN Deep Learning,0.999963879585266
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,malformation syndrome with odontal and/or periodontal component,TxGNN Deep Learning,0.9999614953994752
